network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude
1.0.0.0/24,2077456,2077456,,0,0,,-27.0000,133.0000
1.0.1.0/24,1810821,1814991,,0,0,,26.0614,119.3061
1.0.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061
1.0.4.0/22,2077456,2077456,,0,0,,-27.0000,133.0000
1.0.8.0/21,1809858,1814991,,0,0,,23.1167,113.2500
1.0.16.0/20,1850147,1861060,,0,0,100-0001,35.6850,139.7514
1.0.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500
1.0.64.0/20,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.80.0/22,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.84.0/23,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.86.0/24,1857550,1861060,,0,0,690-0887,35.4722,133.0506
1.0.87.0/24,1862302,1861060,,0,0,747-0801,34.0500,131.5667
1.0.88.0/23,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.90.0/24,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.91.0/24,1854383,1861060,,0,0,700-0824,34.6617,133.9350
1.0.92.0/22,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.96.0/22,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.100.0/24,1854383,1861060,,0,0,700-0824,34.6617,133.9350
1.0.101.0/24,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.102.0/23,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.104.0/21,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.112.0/22,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.116.0/24,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.117.0/24,1860243,1861060,,0,0,920-8203,36.5944,136.6256
1.0.118.0/23,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.120.0/21,1862415,1861060,,0,0,730-0011,34.3963,132.4594
1.0.128.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.130.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.131.0/24,1606030,1605651,,0,0,,14.8818,103.4936
1.0.132.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.136.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.0.137.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.138.0/24,1609350,1605651,,0,0,10600,13.7333,100.4833
1.0.139.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.140.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.144.0/20,1605651,1605651,,0,0,,13.7500,100.4667
1.0.160.0/24,1153557,1605651,,0,0,,10.5000,99.1667
1.0.161.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.162.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.164.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.166.0/23,1153557,1605651,,0,0,,10.5000,99.1667
1.0.168.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.172.0/24,1151464,1605651,,0,0,,8.4509,98.5298
1.0.173.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.174.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.176.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.178.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.179.0/24,1611269,1605651,,0,0,,12.6096,102.1045
1.0.180.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.184.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.188.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.189.0/24,1611269,1605651,,0,0,,12.6096,102.1045
1.0.190.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.192.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.0.193.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.194.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.196.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.0.197.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.198.0/25,1605651,1605651,,0,0,,13.7500,100.4667
1.0.198.128/25,1609350,1605651,,0,0,10250,13.8583,100.4688
1.0.199.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.200.0/21,1605651,1605651,,0,0,,13.7500,100.4667
1.0.208.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.210.0/24,1620197,1605651,,0,0,,14.9500,100.4833
1.0.211.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.0.212.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.213.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.0.214.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.216.0/24,1605651,1605651,,0,0,,13.7500,100.4667
1.0.217.0/24,1609350,1605651,,0,0,10200,13.7540,100.5014
1.0.218.0/23,1605651,1605651,,0,0,,13.7500,100.4667
1.0.220.0/22,1605651,1605651,,0,0,,13.7500,100.4667
1.0.224.0/23,1605651,1605651,,0,0,,13.7500,100.4667
